time_step,computation_time,tracking_error,Y_trajectory,X_trajectory,status_step,velocity_result
0,0.08596682548522949,[-0.92 -0.01 -0.59],0.10915,0.817250000000927,Maximum_Iterations_Exceeded,0.0
1,0.056592702865600586,[-0.92 -0.01 -0.59],0.11086155074223825,0.8163563682570995,Maximum_Iterations_Exceeded,5.979417487662995
2,0.059036970138549805,[-0.91 -0.02 -0.58],0.1157403824170674,0.8132106471747549,Maximum_Iterations_Exceeded,7.673331701505584
3,0.05474042892456055,[-0.91 -0.02 -0.56],0.1234462874513,0.8073442599838665,Maximum_Iterations_Exceeded,7.801615362987056
4,0.05395698547363281,[-0.9  -0.03 -0.54],0.1338038556186417,0.7985096632147143,Maximum_Iterations_Exceeded,7.952005572799209
5,0.05097627639770508,[-0.89 -0.05 -0.52],0.14660799792069554,0.7863575432475101,Maximum_Iterations_Exceeded,8.119403473829674
6,0.06404709815979004,[-0.87 -0.06 -0.49],0.16169506308850143,0.7703940231983335,Maximum_Iterations_Exceeded,8.586794760946978
7,0.05225348472595215,[-0.85 -0.08 -0.46],0.17873902252591203,0.750206242237492,Maximum_Iterations_Exceeded,8.709344906758016
8,0.06166481971740723,[-0.83 -0.1  -0.43],0.19728794145115391,0.7253744457704906,Maximum_Iterations_Exceeded,9.101601670515915
9,0.05022907257080078,[-0.8  -0.12 -0.39],0.21694322404392025,0.6960984256654902,Maximum_Iterations_Exceeded,8.825958393147882
10,0.06298422813415527,[-0.76 -0.14 -0.35],0.23740012868910293,0.6636797055779299,Maximum_Iterations_Exceeded,8.492267500402418
11,0.055368661880493164,[-0.73 -0.16 -0.32],0.25832793307953755,0.6287584167549704,Maximum_Iterations_Exceeded,8.723326213184817
12,0.06526660919189453,[-0.69 -0.18 -0.28],0.2789753833541834,0.5902882652217194,Maximum_Iterations_Exceeded,9.208980408567825
13,0.05098462104797363,[-0.65 -0.2  -0.24],0.29816335961063534,0.5464374901680941,Maximum_Iterations_Exceeded,9.488862053815211
14,0.07046031951904297,[-0.6  -0.21 -0.2 ],0.3147883068566852,0.4972513588155286,Maximum_Iterations_Exceeded,9.650327155706405
15,0.051569223403930664,[-0.55 -0.23 -0.16],0.3278248131378296,0.44521319871732556,Maximum_Iterations_Exceeded,9.633244003336522
16,0.05916118621826172,[-0.49 -0.24 -0.13],0.33627338738207324,0.39242534310870075,Maximum_Iterations_Exceeded,9.507814018022145
17,0.050647735595703125,[-0.44 -0.24 -0.1 ],0.3394466128632879,0.3395487721425255,Maximum_Iterations_Exceeded,9.344525569238005
18,0.06146645545959473,[-0.39 -0.24 -0.08],0.33692530508484997,0.2865616198781177,Maximum_Iterations_Exceeded,9.335693526043663
19,0.049553632736206055,[-0.33 -0.23 -0.05],0.3287719484433388,0.23436874194047885,Maximum_Iterations_Exceeded,9.235608766130122
20,0.05972599983215332,[-0.28 -0.21 -0.03],0.3147464259313978,0.18360581667499992,Maximum_Iterations_Exceeded,9.148638832363467
21,0.05130648612976074,[-0.24 -0.2  -0.02],0.2952762685287864,0.1352211003114378,Maximum_Iterations_Exceeded,9.193569418049949
22,0.06426596641540527,[-0.19 -0.17 -0.  ],0.2723283166607335,0.09126406879343682,Maximum_Iterations_Exceeded,9.224746948200089
23,0.05371451377868652,[-0.15 -0.15  0.01],0.2477209347739932,0.052929297123589555,Maximum_Iterations_Exceeded,9.448545827296217
24,0.07250690460205078,[-0.12 -0.12  0.02],0.2229357908905868,0.02067491712288408,Maximum_Iterations_Exceeded,9.777066415256899
25,0.057343244552612305,[-0.09 -0.1   0.02],0.19858209950617206,-0.005925564833124397,Maximum_Iterations_Exceeded,9.571338921553611
26,0.0636143684387207,[-0.07 -0.07  0.03],0.17479363099177012,-0.02762107808252088,Maximum_Iterations_Exceeded,9.042552162955573
27,0.053090572357177734,[-0.05 -0.05  0.03],0.151923381350215,-0.045028669223214225,Maximum_Iterations_Exceeded,8.4898756198146
28,0.05565166473388672,[-0.04 -0.03  0.03],0.13039506630773107,-0.05882837029074293,Maximum_Iterations_Exceeded,7.972026375890922
29,0.09347367286682129,[-0.03 -0.01  0.03],0.1105320650314138,-0.06982775432867701,Maximum_Iterations_Exceeded,7.5992313326384435
30,0.05764031410217285,[-0.02  0.01  0.02],0.09255562838768251,-0.0787653094233656,Maximum_Iterations_Exceeded,7.367782312038944
31,0.05723404884338379,[-0.01  0.02  0.02],0.07660999820410468,-0.08612698824704446,Maximum_Iterations_Exceeded,7.25412367377745
32,0.06099390983581543,[-0.01  0.04  0.02],0.06276987690812547,-0.09219111599462235,Maximum_Iterations_Exceeded,7.193806147410961
33,0.05713772773742676,[-0.    0.05  0.01],0.05105249452295708,-0.09711667338367272,Maximum_Iterations_Exceeded,7.176555526805759
34,0.06322193145751953,[0.   0.06 0.01],0.04139976428963834,-0.10100824593812296,Maximum_Iterations_Exceeded,7.123502574293844
35,0.051171064376831055,[0.   0.07 0.01],0.03370527332528343,-0.10396546225927555,Maximum_Iterations_Exceeded,7.032896873154947
36,0.05606651306152344,[0.01 0.07 0.  ],0.027855947570729227,-0.10609532830481447,Maximum_Iterations_Exceeded,6.84855432924716
37,0.052019357681274414,[ 0.01  0.08 -0.  ],0.023672250298699616,-0.10752887998361778,Maximum_Iterations_Exceeded,6.552692757299797
38,0.07065081596374512,[ 0.01  0.08 -0.  ],0.02088570473362942,-0.10841734936390084,Maximum_Iterations_Exceeded,6.197491495996261
39,0.05759692192077637,[ 0.01  0.08 -0.01],0.019143664886229532,-0.1089315913311204,Maximum_Iterations_Exceeded,5.869465774903146
40,0.06267976760864258,[ 0.01  0.08 -0.01],0.018083381012367433,-0.10923681349628594,Maximum_Iterations_Exceeded,5.716347884612028
41,0.05417180061340332,[ 0.01  0.08 -0.01],0.017374547269936865,-0.10947490366033166,Maximum_Iterations_Exceeded,5.779014802102678
42,0.07594799995422363,[ 0.01  0.08 -0.01],0.016787873426592978,-0.10973950479336278,Maximum_Iterations_Exceeded,5.864257364748799
43,0.06840395927429199,[ 0.01  0.08 -0.01],0.01634640795130553,-0.11002042402174392,Maximum_Iterations_Exceeded,5.657449917985612
44,0.06494426727294922,[ 0.01  0.08 -0.01],0.016348208762739087,-0.11018572193560963,Maximum_Iterations_Exceeded,5.0230747984443616
45,0.051650285720825195,[ 0.01  0.08 -0.01],0.016959221551699415,-0.11013559751146369,Maximum_Iterations_Exceeded,4.381677844459238
46,0.06795167922973633,[ 0.01  0.08 -0.01],0.018180427121236496,-0.1098464809029417,Maximum_Iterations_Exceeded,3.8687882035763903
47,0.06475996971130371,[ 0.01  0.08 -0.01],0.020083478594461864,-0.10928239515266053,Maximum_Iterations_Exceeded,3.4818432199055427
48,0.06438350677490234,[ 0.01  0.08 -0.01],0.022697948680652974,-0.10841910842949289,Maximum_Iterations_Exceeded,3.1996522022049745
49,0.051100730895996094,[ 0.01  0.07 -0.01],0.0259736098080905,-0.10725896739842922,Maximum_Iterations_Exceeded,3.0127209580223115
50,0.058063507080078125,[ 0.01  0.07 -0.01],0.029827320514620066,-0.10581520946284383,Maximum_Iterations_Exceeded,2.9021469902794332
51,0.07017683982849121,[ 0.    0.07 -0.01],0.03418493612340444,-0.10409474994132469,Maximum_Iterations_Exceeded,2.8501742555693563
52,0.05657315254211426,[ 0.    0.06 -0.01],0.03898095752437377,-0.10209892343783426,Maximum_Iterations_Exceeded,2.8410559449801265
53,0.05120229721069336,[-0.    0.06 -0.01],0.04416833323671025,-0.09981983445947418,Maximum_Iterations_Exceeded,2.859917791118416
54,0.05863618850708008,[-0.    0.05 -0.01],0.04971861267270018,-0.09723994825225322,Maximum_Iterations_Exceeded,2.895756973747492
55,0.05077219009399414,[-0.01  0.04 -0.01],0.055609732065058724,-0.09433724544329734,Maximum_Iterations_Exceeded,2.94166727511535
56,0.0754384994506836,[-0.01  0.04 -0.01],0.061816576581822096,-0.09108992114282478,Maximum_Iterations_Exceeded,2.993288006409466
57,0.05368828773498535,[-0.01  0.03 -0.01],0.0683094950007724,-0.08747789679308374,Maximum_Iterations_Exceeded,3.0473275227878416
58,0.05678844451904297,[-0.02  0.02 -0.01],0.0750549006029615,-0.08348355493863788,Maximum_Iterations_Exceeded,3.100660795836058
59,0.05158185958862305,[-0.02  0.02 -0.01],0.08201903578474329,-0.07909062575518798,Maximum_Iterations_Exceeded,3.151607467879641
60,0.058767080307006836,[-0.03  0.01 -0.01],0.08917003913086702,-0.07428344537104761,Maximum_Iterations_Exceeded,3.1984630247534422
61,0.05159759521484375,[-0.03  0.   -0.01],0.09647250742181245,-0.06905090909748575,Maximum_Iterations_Exceeded,3.23815315116538
62,0.05585622787475586,[-0.04 -0.   -0.01],0.10384547750648723,-0.06341895971429966,Maximum_Iterations_Exceeded,3.2534790818593318
63,0.05454611778259277,[-0.04 -0.01 -0.01],0.11006935342295784,-0.05832626008442457,Maximum_Iterations_Exceeded,3.0294189729783674
64,0.057714223861694336,[-0.04 -0.01 -0.01],0.11367631163656726,-0.05507674558491439,Maximum_Iterations_Exceeded,3.3115632200536833
65,0.06216788291931152,[-0.05 -0.01 -0.01],0.11439752671969802,-0.054068019805560995,Maximum_Iterations_Exceeded,3.587432409730238
66,0.06787610054016113,[-0.04 -0.01 -0.  ],0.1126924764682477,-0.05503772501754127,Maximum_Iterations_Exceeded,3.6908565613170827
67,0.07008647918701172,[-0.04 -0.01 -0.  ],0.10946071655200339,-0.057311264921212364,Maximum_Iterations_Exceeded,3.6784493891657157
68,0.0675361156463623,[-0.04 -0.01 -0.  ],0.10565163597782187,-0.06014916268030242,Maximum_Iterations_Exceeded,3.578323318739631
69,0.06635022163391113,[-0.04 -0.    0.  ],0.10198302159124349,-0.0629855657737652,Maximum_Iterations_Exceeded,3.433297125253129
70,0.06563425064086914,[-0.03  0.    0.  ],0.09877443012150756,-0.0655633257447717,Maximum_Iterations_Exceeded,3.2952445762125073
71,0.06317853927612305,[-0.03  0.    0.  ],0.09612055236381042,-0.06780261864225902,Maximum_Iterations_Exceeded,3.1423994013635115
72,0.05669903755187988,[-0.03  0.01  0.  ],0.09406383629611079,-0.06967016769638965,Maximum_Iterations_Exceeded,2.989787723722482
73,0.07187128067016602,[-0.03  0.01  0.01],0.09257502140489926,-0.0711895841545813,Maximum_Iterations_Exceeded,2.843796351129026
74,0.06619501113891602,[-0.03  0.01  0.01],0.09158593705407472,-0.07241297519092356,Maximum_Iterations_Exceeded,2.704148090517971
75,0.05976533889770508,[-0.03  0.01  0.01],0.09101301791514668,-0.07340057500978941,Maximum_Iterations_Exceeded,2.567550104842546
76,0.05779576301574707,[-0.03  0.01  0.01],0.09076828058339234,-0.07421065584011288,Maximum_Iterations_Exceeded,2.4300971988961964
77,0.055179595947265625,[-0.03  0.01  0.01],0.09076780443964216,-0.07489301215574144,Maximum_Iterations_Exceeded,2.2887241293218348
78,0.07445001602172852,[-0.02  0.01  0.01],0.09100928845858103,-0.0754350321978349,Maximum_Iterations_Exceeded,2.1070001347912637
79,0.053675174713134766,[-0.02  0.01  0.01],0.09141815811696141,-0.07587168174198286,Maximum_Iterations_Exceeded,1.9722473086445358
80,0.0571599006652832,[-0.02  0.01  0.01],0.09191939152400828,-0.07623510363126854,Maximum_Iterations_Exceeded,1.7934251381491328
81,0.05307173728942871,[-0.02  0.01  0.01],0.09244785990833136,-0.07655037908075824,Maximum_Iterations_Exceeded,1.664035931453998
82,0.058183908462524414,[-0.02  0.01  0.01],0.09295911240862309,-0.07683054890788855,Maximum_Iterations_Exceeded,1.494728165456819
83,0.055812835693359375,[-0.02  0.01  0.01],0.09342462236340385,-0.07708205745250069,Maximum_Iterations_Exceeded,1.3814938312277747
84,0.06436395645141602,[-0.02  0.01  0.01],0.09383071656726401,-0.07730558273496246,Maximum_Iterations_Exceeded,1.2373427904827667
85,0.05843091011047363,[-0.02  0.01  0.01],0.09417347842611916,-0.07750005588278594,Maximum_Iterations_Exceeded,1.1544101072876012
86,0.05848193168640137,[-0.02  0.01  0.01],0.09445412704052816,-0.07766422020759567,Maximum_Iterations_Exceeded,1.051273843009135
87,0.0587460994720459,[-0.02  0.01  0.01],0.09467771672164307,-0.0777975369211897,Maximum_Iterations_Exceeded,1.007693073913061
88,0.06634950637817383,[-0.02  0.01  0.01],0.09484958113347955,-0.07790097614630363,Maximum_Iterations_Exceeded,0.952734656735436
89,0.06031370162963867,[-0.02  0.01  0.01],0.09497675270310466,-0.0779761032552676,Maximum_Iterations_Exceeded,0.9457697617914981
90,0.05668926239013672,[-0.02  0.    0.01],0.09506503309491379,-0.07802582964187257,Maximum_Iterations_Exceeded,0.931559329922385
91,0.05905556678771973,[-0.02  0.    0.01],0.0951215725338106,-0.07805276035914782,Maximum_Iterations_Exceeded,0.9479440918637215
92,0.05966949462890625,[-0.02  0.    0.01],0.09515144594892053,-0.07806060915022284,Maximum_Iterations_Exceeded,0.9579485031208621
93,0.05113387107849121,[-0.02  0.    0.01],0.09516069380282954,-0.07805228293407482,Maximum_Iterations_Exceeded,0.9832511509446913
94,0.05172538757324219,[-0.02  0.    0.01],0.09515319696093062,-0.07803145933338346,Maximum_Iterations_Exceeded,1.0023742910932487
95,0.0585942268371582,[-0.02  0.    0.01],0.09513371739923027,-0.07800071885157403,Maximum_Iterations_Exceeded,1.0271733470466653
96,0.05554604530334473,[-0.02  0.    0.01],0.09503283291727313,-0.07800992561786016,Maximum_Iterations_Exceeded,1.0529899887281482
97,0.04832315444946289,[-0.02  0.01  0.01],0.09493955770247998,-0.07800716610879152,Maximum_Iterations_Exceeded,1.0704315234432868
98,0.05080771446228027,[-0.02  0.01  0.01],0.0948740830631481,-0.07798449438864526,Maximum_Iterations_Exceeded,1.0882919637430104
99,0.04796934127807617,[-0.02  0.01  0.01],0.0947656243269186,-0.07799069853116611,Maximum_Iterations_Exceeded,1.1072970670563993
